SampleName	Provided_Breeds	BreedQC	DiseaseAcronym
CCB010217	Rottweiler	Pass QC	OSA
DD0356	NA	Pass QC	UC
CCB050023	NA	Pass QC	UCL
CCB050023_URen	Labrador Retriever	Pass QC	OM
CCB010299	NA	Pass QC	UCL
DD0070	NA	Pass QC	OM
PYSH000001	Pyrenean Shepherd	Pass QC	NonT
PYSH000004	Pyrenean Shepherd	Pass QC	NonT
PYSH000003	Pyrenean Shepherd	Pass QC	NonT
PYSH000006	Pyrenean Shepherd	Pass QC	NonT
PYSH000007	Pyrenean Shepherd	Pass QC	NonT
PYSH000011	Pyrenean Shepherd	Pass QC	NonT
PYSH000005	Pyrenean Shepherd	Pass QC	NonT
PYSH000012	Pyrenean Shepherd	Pass QC	NonT
CMT-128	Yorkshire Terrier	Pass QC	MT
CMT-24	Yorkshire Terrier	Pass QC	MT
CMT-353	Yorkshire Terrier	Pass QC	MT
CMT-340	Yorkshire Terrier	Pass QC	MT
CMT-634	Yorkshire Terrier	Pass QC	MT
CMT-538	Yorkshire Terrier	Pass QC	MT
070	Maltese	Pass QC	MT
CMT-638	Yorkshire Terrier	Pass QC	MT
CMT-153	Yorkshire Terrier	Pass QC	MT
CMT-136	Yorkshire Terrier	Pass QC	MT
DD0087	NA	Pass QC	OM
CMT-106	Yorkshire Terrier	Pass QC	MT
DD0353	NA	Pass QC	UC
CMT-116	Yorkshire Terrier	Pass QC	MT
CMT-109	Yorkshire Terrier	Pass QC	MT
CMT-33	Yorkshire Terrier	Pass QC	MT
CMT-124	Yorkshire Terrier	Pass QC	MT
DD0261	NA	Pass QC	UC
HS2	NA	Pass QC	HS
GSPK000002	German Spitz	Pass QC	NonT
GSPK000011	German Spitz	Pass QC	NonT
GSZM000008	German Spitz	Pass QC	NonT
GSZM000004	German Spitz	Pass QC	NonT
GSPK000010	German Spitz	Pass QC	NonT
GSZM000009	German Spitz	Pass QC	NonT
GSPK000001	German Spitz	Pass QC	NonT
GSPK000003	German Spitz	Pass QC	NonT
DD0347	NA	Pass QC	UC
CCB050195	NA	Pass QC	UCL
KMUM000005	Small Munsterlander	Pass QC	NonT
KMUM000006	Small Munsterlander	Pass QC	NonT
KMUM000010	Small Munsterlander	Pass QC	NonT
KMUM000004	Small Munsterlander	Pass QC	NonT
KMUM000003	Small Munsterlander	Pass QC	NonT
KMUM000009	Small Munsterlander	Pass QC	NonT
KMUM000001	Small Munsterlander	Pass QC	NonT
KMUM000007	Small Munsterlander	Pass QC	NonT
KMUM000002	Small Munsterlander	Pass QC	NonT
KMUM000008	Small Munsterlander	Pass QC	NonT
KMUM000011	Small Munsterlander	Pass QC	NonT
DD0051	NA	Pass QC	OM
DD0093	NA	Pass QC	OM
DD0320	NA	Pass QC	UC
B00E014-5	Poodle	Pass QC	OM
B00E00K-L	Poodle	Pass QC	OM
Poodle18	Poodle	Pass QC	UCL
B00E01C-D	Poodle	Pass QC	OM
CMT-695	Poodle	Pass QC	MT
CMT-210	Poodle	Pass QC	MT
CMT-271	Poodle	Pass QC	MT
CMT-257	Poodle	Pass QC	MT
Poodle8	Poodle	Pass QC	UCL
